,size,avg,pr,slope
1,597.0,56.0,0.0,0.02574847935202216
2,597.0,56.0,0.1,0.12079988889784617
3,597.0,56.0,0.2,0.2265194814390846
4,597.0,56.0,0.30000000000000004,0.3381825830145857
5,597.0,56.0,0.4,0.42285611813067375
6,597.0,56.0,0.5,0.47721351390576344
7,597.0,56.0,0.6000000000000001,0.4985773474680946
8,597.0,56.0,0.7000000000000001,0.4973859534644197
9,597.0,56.0,0.8,0.4940974926940009
10,597.0,56.0,0.9,0.4911970839709312
11,597.0,56.0,1.0,0.49766472578777776
12,271.0,18.0,0.0,0.016899160270806752
13,271.0,18.0,0.1,0.09389691719229795
14,271.0,18.0,0.2,0.19577718235585015
15,271.0,18.0,0.30000000000000004,0.2695476666062651
16,271.0,18.0,0.4,0.3389976134830323
17,271.0,18.0,0.5,0.4336275333529138
18,271.0,18.0,0.6000000000000001,0.46135288674349384
19,271.0,18.0,0.7000000000000001,0.4590279798875554
20,271.0,18.0,0.8,0.46952263819775747
21,271.0,18.0,0.9,0.4670748148363274
22,271.0,18.0,1.0,0.4564230589785092
23,936.0,52.0,0.0,0.014675716778406702
24,936.0,52.0,0.1,0.10906756943643277
25,936.0,52.0,0.2,0.203170297686977
26,936.0,52.0,0.30000000000000004,0.31523587617479204
27,936.0,52.0,0.4,0.4069682566259398
28,936.0,52.0,0.5,0.4765474825994194
29,936.0,52.0,0.6000000000000001,0.49207332418813987
30,936.0,52.0,0.7000000000000001,0.49304700466282175
31,936.0,52.0,0.8,0.48790281516543843
32,936.0,52.0,0.9,0.48965044161205784
33,936.0,52.0,1.0,0.49146993774703496
34,690.0,46.0,0.0,0.015483057456652025
35,690.0,46.0,0.1,0.11609480752633601
36,690.0,46.0,0.2,0.21509434466186012
37,690.0,46.0,0.30000000000000004,0.3040959023052078
38,690.0,46.0,0.4,0.41102584741354453
39,690.0,46.0,0.5,0.47187272369991967
40,690.0,46.0,0.6000000000000001,0.4837070065856993
41,690.0,46.0,0.7000000000000001,0.49255173490274295
42,690.0,46.0,0.8,0.4866989944924988
