,size,p,avg,slope,interaction
0,500,0.012024048096192385,6,0.1873689306309795,random
1,500,0.012024048096192385,6,0.22883671422030316,ordered
2,500,0.012024048096192385,6,0.201343709626707,degree
3,500,0.012024048096192385,6,0.18788036988293774,distance
4,500,0.014028056112224449,7,0.20117523991451547,random
5,500,0.014028056112224449,7,0.21995398686807888,ordered
6,500,0.014028056112224449,7,0.2165470149758054,degree
7,500,0.014028056112224449,7,0.18721433080206645,distance
8,500,0.01603206412825651,8,0.2214377883778221,random
9,500,0.01603206412825651,8,0.25252945382208425,ordered
10,500,0.01603206412825651,8,0.25826286627909917,degree
11,500,0.01603206412825651,8,0.22818503673044566,distance
12,500,0.018036072144288578,9,0.25968477969958337,random
13,500,0.018036072144288578,9,0.2747677289793199,ordered
14,500,0.018036072144288578,9,0.24273914308485564,degree
15,500,0.018036072144288578,9,0.244252311670983,distance
16,500,0.02004008016032064,10,0.32418068729224586,random
17,500,0.02004008016032064,10,0.3572209417141021,ordered
18,500,0.02004008016032064,10,0.34210501282861977,degree
19,500,0.02004008016032064,10,0.3118028500111174,distance
20,500,0.022044088176352707,11,0.3413997941855981,random
21,500,0.022044088176352707,11,0.3949194823563563,ordered
22,500,0.022044088176352707,11,0.33595845232043153,degree
23,500,0.022044088176352707,11,0.3413489037269391,distance
24,500,0.02404809619238477,12,0.3975167430972709,random
25,500,0.02404809619238477,12,0.46363784310995826,ordered
26,500,0.02404809619238477,12,0.3822621276012391,degree
27,500,0.02404809619238477,12,0.38825100921761113,distance
28,500,0.026052104208416832,13,0.4044740333821838,random
29,500,0.026052104208416832,13,0.4692199772175364,ordered
30,500,0.026052104208416832,13,0.3855556209573339,degree
31,500,0.026052104208416832,13,0.41494215693177344,distance
32,500,0.028056112224448898,14,0.4254928447931525,random
33,500,0.028056112224448898,14,0.47409569620056563,ordered
34,500,0.028056112224448898,14,0.40735824882453997,degree
35,500,0.028056112224448898,14,0.41835370631814695,distance
36,500,0.03006012024048096,15,0.41856090503499643,random
37,500,0.03006012024048096,15,0.46708782940797267,ordered
38,500,0.03006012024048096,15,0.4017676318969821,degree
39,500,0.03006012024048096,15,0.4258010361050819,distance
40,500,0.03206412825651302,16,0.44161414796760506,random
41,500,0.03206412825651302,16,0.47719078785131464,ordered
42,500,0.03206412825651302,16,0.42608895639799693,degree
43,500,0.03206412825651302,16,0.4399411495432073,distance
44,500,0.03406813627254509,17,0.4511615286331815,random
45,500,0.03406813627254509,17,0.48844454648525115,ordered
46,500,0.03406813627254509,17,0.429482481928291,degree
47,500,0.03406813627254509,17,0.4438661777978702,distance
48,500,0.036072144288577156,18,0.4484616422848813,random
49,500,0.036072144288577156,18,0.488035951392903,ordered
50,500,0.036072144288577156,18,0.42478681611156793,degree
51,500,0.036072144288577156,18,0.45142751360007854,distance
52,500,0.03807615230460922,19,0.45552523595639965,random
53,500,0.03807615230460922,19,0.48471316715337875,ordered
54,500,0.03807615230460922,19,0.4346800561767261,degree
55,500,0.03807615230460922,19,0.4454685969752344,distance
56,500,0.04008016032064128,20,0.4645482649755414,random
57,500,0.04008016032064128,20,0.4883599617302181,ordered
58,500,0.04008016032064128,20,0.44398596298134246,degree
59,500,0.04008016032064128,20,0.4664663843997771,distance
60,500,0.04208416833667335,21,0.4645928426718906,random
61,500,0.04208416833667335,21,0.4910015596250288,ordered
62,500,0.04208416833667335,21,0.43243724289430013,degree
63,500,0.04208416833667335,21,0.46120368987415955,distance
64,500,0.04408817635270541,22,0.47030444716058106,random
65,500,0.04408817635270541,22,0.4862789927180951,ordered
66,500,0.04408817635270541,22,0.44264180177193013,degree
67,500,0.04408817635270541,22,0.4582663007129503,distance
68,500,0.04609218436873747,23,0.4597010257451249,random
69,500,0.04609218436873747,23,0.501608629513379,ordered
70,500,0.04609218436873747,23,0.45582488134139193,degree
71,500,0.04609218436873747,23,0.4773103385043602,distance
72,500,0.04809619238476954,24,0.468431503169216,random
73,500,0.04809619238476954,24,0.49846411154858733,ordered
74,500,0.04809619238476954,24,0.4587484956773983,degree
75,500,0.04809619238476954,24,0.4662122897118047,distance
76,500,0.050100200400801605,25,0.47296013194560543,random
77,500,0.050100200400801605,25,0.4922237025895123,ordered
78,500,0.050100200400801605,25,0.4417978188008351,degree
79,500,0.050100200400801605,25,0.4687316738481604,distance
80,500,0.052104208416833664,26,0.4684394276666802,random
81,500,0.052104208416833664,26,0.4926600371372465,ordered
82,500,0.052104208416833664,26,0.4604283434581976,degree
83,500,0.052104208416833664,26,0.46278970025391886,distance
84,500,0.05410821643286573,27,0.4706680596504099,random
85,500,0.05410821643286573,27,0.5010575333875896,ordered
86,500,0.05410821643286573,27,0.4557070937956868,degree
87,500,0.05410821643286573,27,0.46748902957449057,distance
88,500,0.056112224448897796,28,0.47411084849085816,random
89,500,0.056112224448897796,28,0.49478276022002776,ordered
90,500,0.056112224448897796,28,0.4631606233513164,degree
91,500,0.056112224448897796,28,0.47734659898078197,distance
92,500,0.05811623246492986,29,0.4733167357153629,random
93,500,0.05811623246492986,29,0.48942105012690795,ordered
94,500,0.05811623246492986,29,0.4635581637841083,degree
95,500,0.05811623246492986,29,0.47896777392544737,distance
96,500,0.06012024048096192,30,0.4720179798690281,random
97,500,0.06012024048096192,30,0.4991559819663699,ordered
98,500,0.06012024048096192,30,0.46747681129229895,degree
99,500,0.06012024048096192,30,0.4832245273824668,distance
