,size,r,avg,slope,interaction
0,500,0.06675581178124546,7,0.0027021553114478817,random
1,500,0.06675581178124546,7,0.003125309573059061,ordered
2,500,0.06675581178124546,7,0.0026073355845175634,degree
3,500,0.06675581178124546,7,0.003011409046731036,distance
4,500,0.07136496464611085,8,0.00290339735886501,random
5,500,0.07136496464611085,8,0.0034718838023377213,ordered
6,500,0.07136496464611085,8,0.0031014802954738565,degree
7,500,0.07136496464611085,8,0.00400617776698766,distance
8,500,0.0756939756606048,9,0.004825803758071756,random
9,500,0.0756939756606048,9,0.004961884621422681,ordered
10,500,0.0756939756606048,9,0.004488360447631601,degree
11,500,0.0756939756606048,9,0.004777831118843026,distance
12,500,0.07978845608028654,10,0.006112803956268778,random
13,500,0.07978845608028654,10,0.00633236927912015,ordered
14,500,0.07978845608028654,10,0.005568643110774733,degree
15,500,0.07978845608028654,10,0.006497249037143077,distance
16,500,0.08368283871884005,11,0.005744306821963741,random
17,500,0.08368283871884005,11,0.006558540482708726,ordered
18,500,0.08368283871884005,11,0.005498013010418014,degree
19,500,0.08368283871884005,11,0.006731177841312952,distance
20,500,0.08740387444736633,12,0.006632399596335083,random
21,500,0.08740387444736633,12,0.007333817729556031,ordered
22,500,0.08740387444736633,12,0.006391534823401034,degree
23,500,0.08740387444736633,12,0.008186786700956046,distance
24,500,0.0909728368293446,13,0.00711578847716581,random
25,500,0.0909728368293446,13,0.00784676531764261,ordered
26,500,0.0909728368293446,13,0.006804430309976357,degree
27,500,0.0909728368293446,13,0.008611613440195167,distance
28,500,0.09440697438826297,14,0.007847883610908575,random
29,500,0.09440697438826297,14,0.00871769908306128,ordered
30,500,0.09440697438826297,14,0.007599541154384005,degree
31,500,0.09440697438826297,14,0.00949442913184099,distance
32,500,0.097720502380584,15,0.009912156944487912,random
33,500,0.097720502380584,15,0.010604685353721567,ordered
34,500,0.097720502380584,15,0.009622116202183333,degree
35,500,0.097720502380584,15,0.011732576695867775,distance
36,500,0.10092530088080641,16,0.010016147132652704,random
37,500,0.10092530088080641,16,0.01101732431643997,ordered
38,500,0.10092530088080641,16,0.010013693854421685,degree
39,500,0.10092530088080641,16,0.012322054777040365,distance
40,500,0.10403141895720198,17,0.009432131245624302,random
41,500,0.10403141895720198,17,0.010706904237105009,ordered
42,500,0.10403141895720198,17,0.009125156358829965,degree
43,500,0.10403141895720198,17,0.011389214630287216,distance
44,500,0.10704744696916627,18,0.010706624717366015,random
45,500,0.10704744696916627,18,0.011566559083520903,ordered
46,500,0.10704744696916627,18,0.010520871808570814,degree
47,500,0.10704744696916627,18,0.013180829666164023,distance
