,size,avg,pc,cl,count_p,count_c,slope,interaction
0,500,5.964,0.0,0.052424093980141084,1491,0,0.21952959322879737,random
1,500,5.964,0.0,0.052424093980141084,1491,0,0.26027447464427594,ordered
2,500,5.964,0.0,0.052424093980141084,1491,0,0.2329409594202839,degree
3,500,5.964,0.0,0.052424093980141084,1491,0,0.21007088403681035,distance
4,500,5.964,0.2,0.16177906677987325,1287,204,0.1992504515042301,random
5,500,5.964,0.2,0.16177906677987325,1287,204,0.23444928345174726,ordered
6,500,5.964,0.2,0.16177906677987325,1287,204,0.21305528142161417,degree
7,500,5.964,0.2,0.16177906677987325,1287,204,0.201594020730554,distance
8,500,5.944,0.4,0.23465841051908018,1094,397,0.16431046835524005,random
9,500,5.944,0.4,0.23465841051908018,1094,397,0.19621558030359917,ordered
10,500,5.944,0.4,0.23465841051908018,1094,397,0.17966064056685238,degree
11,500,5.944,0.4,0.23465841051908018,1094,397,0.17008267193243182,distance
12,500,5.952,0.6,0.3388223440280579,898,593,0.13389300873640936,random
13,500,5.952,0.6,0.3388223440280579,898,593,0.15311457528991984,ordered
14,500,5.952,0.6,0.3388223440280579,898,593,0.14013364004817172,degree
15,500,5.952,0.6,0.3388223440280579,898,593,0.13896314973452042,distance
16,500,5.956,0.8,0.47787866856456634,686,805,0.09397060251261127,random
17,500,5.956,0.8,0.47787866856456634,686,805,0.1022064042583638,ordered
18,500,5.956,0.8,0.47787866856456634,686,805,0.09005285243097585,degree
19,500,5.956,0.8,0.47787866856456634,686,805,0.09598654013695525,distance
20,500,5.964,0.85,0.4912061606589054,649,842,0.08257793522521538,random
21,500,5.964,0.85,0.4912061606589054,649,842,0.09664949956333621,ordered
22,500,5.964,0.85,0.4912061606589054,649,842,0.08453639139799021,degree
23,500,5.964,0.85,0.4912061606589054,649,842,0.08488541342457667,distance
24,500,5.956,0.9,0.5354704367305404,597,894,0.05762806434410313,random
25,500,5.956,0.9,0.5354704367305404,597,894,0.06935786906518425,ordered
26,500,5.956,0.9,0.5354704367305404,597,894,0.06252566076456514,degree
27,500,5.956,0.9,0.5354704367305404,597,894,0.0647923201872758,distance
28,500,5.964,0.95,0.5527385589563418,549,942,0.05584003474463983,random
29,500,5.964,0.95,0.5527385589563418,549,942,0.06332638542886648,ordered
30,500,5.964,0.95,0.5527385589563418,549,942,0.06720596097250138,degree
31,500,5.964,0.95,0.5527385589563418,549,942,0.06416482636710912,distance
32,500,5.964,1,0.5764454893374461,500,991,0.025047606775044685,random
33,500,5.964,1,0.5764454893374461,500,991,0.027476039781423954,ordered
