,size,avg,pr,slope,interaction
0,500,6.0,0.0,0.00801515388169034,random
1,500,6.0,0.0,0.008544078911498559,ordered
2,500,6.0,0.0,0.007876199883359677,degree
3,500,6.0,0.0,0.008668145804495273,distance
4,500,6.0,0.1,0.049095663116164645,random
5,500,6.0,0.1,0.05805243258075014,ordered
6,500,6.0,0.1,0.05156054479043302,degree
7,500,6.0,0.1,0.0625279298508892,distance
8,500,6.0,0.2,0.09234592297459461,random
9,500,6.0,0.2,0.09990064320436812,ordered
10,500,6.0,0.2,0.09516705464712415,degree
11,500,6.0,0.2,0.10708761968150318,distance
12,500,6.0,0.30000000000000004,0.1322690780611117,random
13,500,6.0,0.30000000000000004,0.1559285949617802,ordered
14,500,6.0,0.30000000000000004,0.13897054936625347,degree
15,500,6.0,0.30000000000000004,0.1589354271544393,distance
16,500,6.0,0.4,0.1791329177436271,random
17,500,6.0,0.4,0.21568037411402155,ordered
18,500,6.0,0.4,0.18855429963979647,degree
19,500,6.0,0.4,0.19965015676137904,distance
20,500,6.0,0.5,0.20289539811779425,random
21,500,6.0,0.5,0.23422823602089954,ordered
22,500,6.0,0.5,0.2024953117536643,degree
23,500,6.0,0.5,0.20833205006951355,distance
24,500,6.0,0.0,0.008386932141294209,random
25,500,6.0,0.0,0.007762962134338166,ordered
26,500,6.0,0.0,0.008974481260578012,degree
27,500,6.0,0.0,0.008145458394621833,distance
28,500,6.0,0.1,0.047246164382075476,random
29,500,6.0,0.1,0.05326137515967568,ordered
30,500,6.0,0.1,0.05080383347312486,degree
31,500,6.0,0.1,0.057923651359279585,distance
32,500,6.0,0.2,0.07906651179859521,random
33,500,6.0,0.2,0.09344254249383947,ordered
34,500,6.0,0.2,0.08123429487300517,degree
35,500,6.0,0.2,0.0964919184827299,distance
36,500,6.0,0.30000000000000004,0.13313325628806147,random
37,500,6.0,0.30000000000000004,0.14865505138821522,ordered
38,500,6.0,0.30000000000000004,0.1340835588676213,degree
39,500,6.0,0.30000000000000004,0.1522858531516042,distance
